,Municipio,Tipo,Mortes,Taxa_mortalidade,Ano
136,Cubatao,Total,17,13.3,2016
137,Guaruja,Total,56,17.9,2016
138,Itanhaem,Total,18,18.4,2016
139,Mongagua,Total,8,14.9,2016
140,Peruibe,Total,5,7.6,2016
141,Praia Grande,Total,41,13.4,2016
142,Santos,Total,71,16.4,2016
143,Sao Vicente,Total,38,10.6,2016
144,Bertioga,Total,19,31.6,2017
145,Cubatao,Total,12,9.3,2017
146,Guaruja,Total,25,7.9,2017
147,Itanhaem,Total,21,21.2,2017
148,Mongagua,Total,4,7.3,2017
149,Peruibe,Total,7,10.5,2017
150,Praia Grande,Total,53,16.9,2017
151,Santos,Total,51,11.8,2017
152,Sao Vicente,Total,23,6.4,2017
153,Bertioga,Total,10,16.2,2018
154,Cubatao,Total,30,23.1,2018
155,Guaruja,Total,29,9.1,2018
156,Itanhaem,Total,17,16.9,2018
157,Mongagua,Total,5,9.0,2018
158,Peruibe,Total,12,17.8,2018
159,Praia Grande,Total,59,18.5,2018
160,Santos,Total,45,10.4,2018
161,Sao Vicente,Total,36,9.9,2018
162,Bertioga,Total,11,17.4,2019
163,Cubatao,Total,25,19.1,2019
164,Guaruja,Total,44,13.7,2019
165,Itanhaem,Total,19,18.7,2019
166,Mongagua,Total,6,10.6,2019
167,Peruibe,Total,9,13.2,2019
168,Praia Grande,Total,46,14.2,2019
169,Santos,Total,44,10.2,2019
170,Sao Vicente,Total,40,10.9,2019
171,Bertioga,Total,19,29.4,2020
172,Cubatao,Total,29,22.0,2020
173,Guaruja,Total,28,8.7,2020
174,Itanhaem,Total,20,19.4,2020
175,Mongagua,Total,5,8.7,2020
176,Peruibe,Total,14,20.3,2020
177,Praia Grande,Total,60,18.1,2020
178,Santos,Total,50,11.5,2020
179,Sao Vicente,Total,40,10.9,2020
