UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO
AC,ACRELANDIA,6066,1313,0,335,28,640,47,0,2,10,3158,373,42,0,66,42,0,0,0,0,0,10
AC,ASSIS BRASIL,1745,314,0,24,0,139,18,0,2,3,1106,121,3,0,13,0,0,0,0,0,0,2
AC,BRASILEIA,9587,2260,0,274,140,1133,80,0,5,5,4380,955,19,0,108,194,0,0,0,0,2,32
AC,BUJARI,2090,607,0,122,28,264,14,0,7,5,923,49,12,0,22,33,0,0,0,0,1,3
AC,CAPIXABA,2140,599,0,86,2,221,29,0,5,3,1032,121,16,0,22,3,0,0,0,0,0,1
AC,CRUZEIRO DO SUL,33080,6729,0,733,73,2788,308,1,32,59,15401,6564,80,0,41,153,0,1,0,0,10,107
AC,EPITACIOLANDIA,6376,1719,0,253,117,815,79,0,3,6,2407,700,16,0,97,145,0,0,0,0,3,16
AC,FEIJO,3779,558,0,116,5,338,32,0,33,2,2039,609,12,0,11,8,0,0,0,0,4,12
AC,JORDAO,123,12,0,5,0,13,1,0,0,0,64,28,0,0,0,0,0,0,0,0,0,0
AC,MANCIO LIMA,3665,604,0,95,4,309,27,0,1,4,2077,515,16,0,1,5,0,0,0,0,0,7
AC,MANOEL URBANO,1126,222,0,50,2,145,6,0,2,0,560,101,6,0,25,5,0,0,0,0,0,2
AC,MARECHAL THAUMATURGO,356,8,0,13,0,34,0,0,0,0,258,34,9,0,0,0,0,0,0,0,0,0
AC,PLACIDO DE CASTRO,4719,1288,0,155,14,512,44,0,7,5,2202,374,27,0,61,16,3,0,0,0,6,5
AC,PORTO ACRE,3678,788,0,172,5,403,41,0,6,3,2026,142,47,0,30,10,0,2,0,0,0,3
AC,PORTO WALTER,308,4,0,9,0,28,0,0,0,0,214,47,5,0,0,0,0,0,0,0,0,1
AC,RIO BRANCO,187652,69430,0,4262,496,17713,3501,8,477,237,72342,13337,832,0,2817,863,55,23,0,3,129,1127
AC,RODRIGUES ALVES,1534,177,0,17,2,106,2,0,1,1,951,265,9,0,0,1,0,0,0,0,0,2
AC,SANTA ROSA DO PURUS,185,16,0,5,0,24,0,0,0,0,118,16,3,0,3,0,0,0,0,0,0,0
AC,SENA MADUREIRA,8499,1467,0,115,8,874,48,0,21,4,4352,1513,10,0,60,11,0,0,0,0,2,14
AC,SENADOR GUIOMARD,6833,2100,0,351,61,753,66,0,17,8,2808,415,35,0,127,73,1,0,0,0,3,15
AC,TARAUACA,4900,586,0,156,16,387,48,0,6,21,2389,1209,23,0,16,16,0,0,0,0,10,17
AC,XAPURI,4218,814,0,76,4,392,24,1,3,4,2533,304,6,0,40,4,1,0,0,0,2,10
AL,AGUA BRANCA,4390,1050,0,120,2,548,40,0,17,91,2317,136,31,0,24,10,0,0,0,0,0,4
AL,ANADIA,2862,1070,0,46,1,155,91,0,1,36,1157,192,48,0,49,7,0,0,0,0,0,9
AL,ARAPIRACA,111742,34473,0,3020,465,7113,1952,1,1212,406,44111,14957,503,0,1992,890,10,3,0,0,40,594
AL,ATALAIA,6806,3672,0,209,13,276,172,0,66,43,1593,129,162,0,396,58,0,0,0,0,2,15
AL,BARRA DE SANTO ANTONIO,2190,928,0,31,2,110,45,0,120,7,774,58,26,0,67,14,0,0,0,0,0,8
AL,BARRA DE SAO MIGUEL,1923,838,0,26,1,124,44,0,178,3,574,36,13,0,58,11,0,0,0,0,2,15
AL,BATALHA,3834,1181,0,138,12,234,28,0,0,53,1822,256,21,0,58,18,0,0,0,0,1,12
AL,BELEM,1183,337,0,9,0,72,20,0,0,21,652,32,8,0,27,5,0,0,0,0,0,0
AL,BELO MONTE,783,188,0,36,0,61,7,0,0,23,444,14,7,0,1,1,0,0,0,0,0,1
