UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO
PR,CANDIDO DE ABREU,8233,3979,0,350,38,999,130,0,2,16,2265,216,69,0,82,50,1,1,0,0,2,33
PR,CANDOI,8736,5145,0,515,107,1077,138,0,3,25,1175,112,121,0,143,135,0,1,0,0,4,35
PR,CANTAGALO,6201,3684,0,324,75,828,138,0,0,18,777,84,71,0,82,91,1,2,0,2,0,24
PR,CAPANEMA,14048,7896,0,596,125,1378,410,0,3,28,2545,485,87,0,212,173,0,6,0,5,1,98
PR,CAPITAO LEONIDAS MARQUES,12120,6316,0,695,165,1330,286,0,0,34,1877,770,90,0,198,263,0,1,0,0,0,95
PR,CARAMBEI,15167,8586,0,830,387,1751,531,0,4,95,1655,211,105,0,349,522,0,4,0,2,8,127
PR,CARLOPOLIS,9771,5013,0,373,32,1150,220,0,7,40,2009,504,97,0,230,40,1,1,0,0,9,45
PR,CASCAVEL,256187,148609,0,8769,4050,23162,9582,3,175,574,35844,9538,1167,2,5401,5651,18,88,0,84,35,3435
PR,CASTRO,47053,26283,0,2354,803,5605,1556,1,8,298,6758,652,446,0,755,1085,3,1,0,23,19,403
PR,CATANDUVAS,5623,3155,0,296,37,726,156,0,3,18,960,72,57,1,59,48,0,0,0,0,0,35
PR,CENTENARIO DO SUL,6784,3813,0,194,58,535,125,0,8,34,1346,273,92,0,178,91,1,0,0,0,8,28
PR,CERRO AZUL,8822,3568,0,629,17,1007,211,0,0,34,2503,667,81,0,52,23,0,2,0,0,8,20
PR,CEU AZUL,8766,4465,0,425,380,994,227,0,5,22,1131,385,68,0,131,476,1,4,0,0,3,49
PR,CHOPINZINHO,14869,8259,0,744,293,1878,393,0,0,46,1746,507,115,0,234,474,10,1,0,0,3,166
PR,CIANORTE,63942,30683,0,1774,543,5712,1596,2,79,100,12288,8015,280,0,1597,784,4,6,2,23,18,436
PR,CIDADE GAUCHA,7673,3738,0,323,77,637,166,1,4,27,1513,656,105,0,259,133,1,1,0,1,1,30
PR,CLEVELANDIA,11121,6606,0,703,238,1443,343,0,3,51,965,168,64,0,100,335,3,4,0,1,3,91
PR,COLOMBO,148164,92533,0,4609,1569,10549,4600,0,78,451,24307,3531,662,1,2574,1749,4,19,0,42,34,852
PR,COLORADO,17838,8850,0,626,342,1671,384,0,23,58,2778,1429,184,0,729,623,1,1,0,9,7,123
PR,CONGONHINHAS,4455,2506,0,176,22,491,100,0,3,12,936,56,49,0,57,29,0,0,0,1,3,14
PR,CONSELHEIRO MAIRINCK,1923,1199,0,64,4,203,38,0,0,8,313,27,20,0,31,5,0,0,0,0,1,10
PR,CONTENDA,12062,7124,0,913,89,1316,364,0,2,33,1524,203,72,0,247,119,0,6,0,3,3,44
PR,CORBELIA,13600,6909,0,883,267,1823,433,1,19,35,1786,522,75,0,249,406,6,3,0,0,3,180
PR,CORNELIO PROCOPIO,36000,18993,0,1177,188,3117,1086,0,34,129,7715,2154,154,0,622,277,1,4,0,31,16,302
PR,CORONEL DOMINGOS SOARES,2635,1400,0,194,13,367,89,0,0,13,445,22,46,0,14,20,0,2,0,0,0,10
PR,CORONEL VIVIDA,16444,9568,0,876,159,2123,363,0,9,47,2093,534,137,0,181,206,20,4,0,2,2,120
PR,CORUMBATAI DO SUL,2294,1210,0,78,7,288,21,0,0,4,563,64,31,0,8,18,0,0,0,0,2,0
PR,CRUZ MACHADO,11682,5667,0,812,54,1720,213,0,0,22,2756,144,113,0,89,61,0,3,0,1,5,22
PR,CRUZEIRO DO IGUACU,2764,1541,0,110,27,287,53,0,3,11,486,138,31,0,39,31,0,0,0,1,0,6
PR,CRUZEIRO DO OESTE,15398,8296,0,604,107,1247,283,0,16,31,3085,1122,104,0,277,145,3,0,0,1,1,76
PR,CRUZEIRO DO SUL,3273,1766,0,111,33,297,89,0,1,12,555,254,25,0,67,45,0,0,0,1,1,16
PR,CRUZMALTINA,1679,839,0,118,11,229,49,0,0,7,328,31,15,0,26,22,1,1,0,0,0,2
PR,CURITIBA,1622891,1099979,0,38874,11260,117231,82776,24,1030,4094,156550,28339,7140,25,28336,16642,36,515,4,522,338,29176
PR,CURIUVA,8127,4615,0,340,83,795,191,0,3,30,1546,191,98,0,97,91,0,1,0,4,12,30
PR,DIAMANTE D'OESTE,2516,1418,0,89,4,242,48,0,0,14,577,45,51,0,18,6,0,0,0,0,0,4
PR,DIAMANTE DO NORTE,3850,1974,0,87,26,283,75,0,2,10,799,321,38,0,179,40,1,0,0,0,0,15
PR,DIAMANTE DO SUL,1674,903,0,42,9,201,35,0,0,8,427,9,17,0,3,16,0,0,0,0,1,3
PR,DOIS VIZINHOS,33813,18658,0,1439,466,3419,938,0,17,120,5063,1881,185,0,585,739,1,9,0,6,9,278
PR,DOURADINA,6273,2647,0,366,156,523,92,1,2,15,1247,702,28,0,220,225,2,0,0,0,4,43
PR,DOUTOR CAMARGO,4459,2081,0,223,55,535,78,0,11,9,815,413,69,0,74,77,0,1,0,0,0,18
PR,DOUTOR ULYSSES,1723,780,0,119,0,190,75,0,0,10,450,53,34,0,8,1,0,0,0,0,0,3
PR,ENEAS MARQUES,4598,2305,0,258,166,503,95,0,3,7,832,120,34,0,32,228,0,0,0,0,1,14
PR,ENGENHEIRO BELTRAO,9261,4868,0,580,96,1068,176,0,12,27,1489,373,112,0,250,149,0,1,0,9,2,49
PR,ENTRE RIOS DO OESTE,3515,1618,0,184,57,483,93,0,0,9,550,252,14,0,100,106,0,0,0,0,1,48
PR,ESPERANCA NOVA,1350,676,0,43,3,136,14,0,0,12,370,52,10,0,27,5,0,0,0,0,0,2
PR,ESPIGAO ALTO DO IGUACU,2066,1139,0,96,5,284,46,0,0,9,374,78,17,0,10,4,0,0,0,0,0,4
PR,FAROL,1894,956,0,118,22,237,31,0,0,4,397,45,22,0,21,35,0,0,0,1,0,5
PR,FAXINAL,11538,6251,0,556,111,1317,297,0,9,28,2177,368,65,0,128,153,4,1,0,0,5,68
PR,FAZENDA RIO GRANDE,61035,41513,0,1582,592,3818,1838,0,66,101,8280,1023,360,0,987,575,1,7,0,12,9,271
PR,FENIX,2781,1495,0,149,17,281,41,0,1,5,572,103,20,0,50,30,0,1,0,6,0,10
PR,FERNANDES PINHEIRO,2990,1768,0,137,24,263,59,0,0,10,582,44,33,0,37,30,0,0,0,0,0,3
PR,FIGUEIRA,4462,2619,0,176,59,431,105,0,7,12,675,151,51,0,75,75,0,0,0,0,1,25
PR,FLOR DA SERRA DO SUL,2487,1422,0,115,49,282,43,0,0,5,419,32,35,0,16,62,1,0,0,1,0,5
PR,FLORAI,3717,1866,0,185,79,416,69,0,4,11,528,328,25,0,91,101,0,0,0,0,3,11
PR,FLORESTA,6241,3113,0,326,127,876,142,0,7,20,962,297,43,0,140,128,0,1,0,3,5,51
PR,FLORESTOPOLIS,6508,3935,0,228,121,479,167,0,7,49,638,318,148,0,225,177,0,0,0,0,1,15
PR,FLORIDA,1751,939,0,83,14,224,36,0,2,10,254,85,33,0,53,9,0,0,0,1,1,7
PR,FORMOSA DO OESTE,6347,3204,0,342,30,821,87,0,4,14,1324,293,29,0,142,28,0,1,0,0,1,27
PR,FOZ DO IGUACU,201300,120625,0,4087,2782,12842,7118,2,74,1255,34963,4954,1627,19,3294,5585,13,36,0,9,76,1939
PR,FOZ DO JORDAO,2825,1999,0,96,22,255,66,0,0,14,231,38,28,0,38,19,2,1,0,0,1,15
PR,FRANCISCO ALVES,4696,2165,0,203,49,433,77,0,2,9,1234,311,45,0,102,49,0,1,0,1,0,15
PR,FRANCISCO BELTRAO,69808,38153,0,2521,913,6819,2195,0,76,223,9979,5039,294,0,1196,1431,5,17,0,1,11,935
PR,GENERAL CARNEIRO,7044,4178,0,526,73,936,249,0,2,55,615,92,113,0,111,74,0,3,0,2,0,15
PR,GODOY MOREIRA,1877,842,0,79,3,208,19,0,0,5,639,42,17,0,14,2,0,0,0,1,1,5
PR,GOIOERE,20315,10921,0,705,301,1998,410,0,52,62,3231,1382,71,0,443,510,21,2,0,10,15,181
PR,GOIOXIM,3055,1614,0,165,21,429,65,1,1,20,605,26,49,0,17,36,0,0,0,0,0,6
PR,GRANDES RIOS,3327,1746,0,133,11,428,59,0,1,9,816,43,23,0,32,19,0,0,0,0,0,7
PR,GUAIRA,29677,13349,0,1198,355,2442,704,0,17,56,5445,2413,705,0,1087,1666,0,7,0,1,12,220
PR,GUAIRACA,3634,1823,0,148,35,361,72,0,2,17,816,200,35,0,67,49,0,0,0,0,0,9
PR,GUAMIRANGA,4701,2450,0,203,61,523,46,0,1,19,1136,53,42,0,43,109,0,0,0,1,3,11
PR,GUAPIRAMA,2413,1210,0,142,67,230,53,0,2,3,441,59,29,0,48,116,0,0,0,0,4,9
PR,GUAPOREMA,1352,673,0,65,14,151,15,0,0,3,295,58,16,0,30,28,1,0,0,0,0,3
PR,GUARACI,3330,2037,0,133,20,336,82,0,1,7,469,93,48,0,66,25,1,0,0,0,0,12
PR,GUARANIACU,9175,5068,0,511,146,1243,282,0,2,49,1279,145,67,0,106,213,0,2,0,3,5,54
PR,GUARAPUAVA,121326,73554,0,5243,2115,12915,4025,0,93,617,13368,2582,574,0,1951,2853,19,25,0,20,20,1352
PR,GUARAQUECABA,955,437,0,37,2,100,35,0,1,7,289,11,19,0,7,2,0,1,0,0,1,6
PR,GUARATUBA,18810,10610,0,556,88,1537,707,0,18,65,2938,1323,72,0,612,119,2,9,0,3,4,147
PR,HONORIO SERPA,3253,1852,0,140,19,407,80,1,2,7,601,42,43,0,25,20,1,0,0,0,0,13
PR,IBAITI,17404,10323,0,694,211,1702,427,0,18,66,2725,328,186,0,298,293,0,1,0,3,9,120
PR,IBEMA,3591,2093,0,165,82,368,84,0,2,17,513,35,20,0,44,147,0,0,0,0,1,20
PR,IBIPORA,36142,20425,0,1342,298,2902,976,0,215,111,6553,2118,209,2,495,325,3,1,0,13,10,144
